date,pollution,dew,temp,press,wnd_dir,wnd_spd,rain
1/1/2015 0:00,5.7,-3.6,4.7,0.5,121.8,1.4,0.0
1/2/2015 0:00,8.1,0.7,5.2,0.6,126.7,1.5,0.0
1/3/2015 0:00,8.9,0.7,6.5,0.6,119.1,1.4,0.0
1/4/2015 0:00,8.8,3.1,8.0,0.8,115.7,1.3,0.0
1/5/2015 0:00,8.3,3.3,12.0,0.8,123.0,1.4,0.0
1/6/2015 0:00,6.6,4.1,14.1,0.8,133.7,1.5,0.0
1/7/2015 0:00,5.9,5.3,14.7,0.9,135.0,1.6,0.0
1/8/2015 0:00,4.4,7.3,12.8,1.0,120.4,1.4,0.0
1/9/2015 0:00,5.8,8.0,11.5,1.1,96.8,1.1,0.0
1/10/2015 0:00,6.1,6.2,11.5,1.0,106.2,1.2,0.0
1/11/2015 0:00,7.9,6.9,10.2,1.0,108.6,1.3,0.0
1/12/2015 0:00,8.1,7.2,9.5,1.0,100.9,1.2,0.0
1/13/2015 0:00,8.1,5.5,9.8,0.9,108.0,1.3,0.0
1/14/2015 0:00,6.2,4.6,10.0,0.8,135.1,1.6,0.0
1/15/2015 0:00,6.8,5.0,11.2,0.9,112.8,1.3,0.0
1/16/2015 0:00,8.7,8.0,11.7,1.1,105.2,1.2,0.0
1/17/2015 0:00,7.8,10.4,13.4,1.3,97.0,1.1,0.0
1/18/2015 0:00,8.2,10.9,13.9,1.3,83.2,1.0,0.0
1/19/2015 0:00,6.0,10.0,12.4,1.2,97.3,1.1,0.0
1/20/2015 0:00,5.6,6.9,9.7,1.0,113.6,1.3,0.0
1/21/2015 0:00,5.9,5.3,9.1,0.9,111.5,1.3,0.0
1/22/2015 0:00,7.4,3.9,9.2,0.8,114.5,1.3,0.0
1/23/2015 0:00,7.3,4.4,11.3,0.8,102.0,1.2,0.0
1/24/2015 0:00,5.7,4.3,13.2,0.8,110.5,1.3,0.0
1/25/2015 0:00,1.7,2.1,15.4,0.7,143.6,1.7,0.0
1/26/2015 0:00,2.3,3.2,13.2,0.8,128.5,1.5,0.0
1/27/2015 0:00,2.3,7.5,14.0,1.0,100.7,1.2,0.0
1/28/2015 0:00,6.5,6.4,12.5,1.0,109.7,1.3,0.0
1/29/2015 0:00,6.4,6.2,12.6,0.9,105.0,1.2,0.0
1/30/2015 0:00,8.9,8.1,10.8,1.1,106.7,1.2,0.0
1/31/2015 0:00,6.4,5.6,11.6,0.9,103.6,1.2,0.0
2/1/2015 0:00,3.5,3.7,11.8,0.8,124.4,1.4,0.0
2/2/2015 0:00,6.2,5.6,13.0,0.9,121.7,1.4,0.0
2/3/2015 0:00,8.1,7.8,14.4,1.1,114.6,1.3,0.0
2/4/2015 0:00,7.0,8.8,11.4,1.1,118.4,1.4,0.0
2/5/2015 0:00,4.8,9.6,12.5,1.2,120.8,1.4,0.0
2/6/2015 0:00,7.4,11.1,14.2,1.3,177.1,2.1,0.0
2/7/2015 0:00,2.0,13.1,13.8,1.5,133.8,1.5,0.0
2/8/2015 0:00,4.9,12.7,13.6,1.5,155.8,1.8,0.0
2/9/2015 0:00,7.8,10.9,13.7,1.3,92.4,1.1,0.0
2/10/2015 0:00,4.6,7.2,11.5,1.0,98.5,1.1,0.0
2/11/2015 0:00,4.7,6.7,13.2,1.0,118.7,1.4,0.0
2/12/2015 0:00,5.3,6.2,16.1,0.9,129.2,1.5,0.0
2/13/2015 0:00,5.6,6.8,16.1,1.0,123.6,1.4,0.0
2/14/2015 0:00,7.2,7.6,16.1,1.0,115.3,1.3,0.0
2/15/2015 0:00,6.6,7.2,14.9,1.0,115.1,1.3,0.0
2/16/2015 0:00,6.6,8.8,11.8,1.1,114.8,1.3,0.0
2/17/2015 0:00,7.2,8.9,11.5,1.1,63.9,0.7,0.0
2/18/2015 0:00,8.5,9.3,12.5,1.2,84.0,1.0,0.0
2/19/2015 0:00,7.2,9.6,11.4,1.2,82.2,1.0,0.0
2/20/2015 0:00,7.7,9.4,13.0,1.2,89.0,1.0,0.0
2/21/2015 0:00,6.6,8.1,10.6,1.1,107.9,1.2,0.0
2/22/2015 0:00,2.0,3.6,12.6,0.8,107.4,1.2,0.0
2/23/2015 0:00,2.9,-3.9,11.4,0.5,114.4,1.3,0.0
2/24/2015 0:00,5.1,2.0,9.0,0.7,131.8,1.5,0.0
2/25/2015 0:00,5.8,3.9,10.2,0.8,120.1,1.4,0.0
2/26/2015 0:00,6.4,7.8,12.0,1.1,108.3,1.3,0.0
2/27/2015 0:00,1.3,7.3,12.2,1.0,114.7,1.3,0.0
2/28/2015 0:00,0.6,6.4,8.3,1.0,91.8,1.1,0.25
3/1/2015 0:00,2.4,5.2,9.6,0.9,119.6,1.4,0.0
3/2/2015 0:00,3.5,5.2,8.5,0.9,137.4,1.6,0.0
3/3/2015 0:00,4.2,5.8,9.8,0.9,126.2,1.5,0.0
3/4/2015 0:00,4.3,5.1,11.0,0.9,139.3,1.6,0.0
3/5/2015 0:00,4.8,3.2,14.0,0.8,132.1,1.5,0.0
3/6/2015 0:00,6.8,2.8,14.7,0.7,111.1,1.3,0.0
3/7/2015 0:00,6.6,4.8,14.0,0.9,122.8,1.4,0.0
3/8/2015 0:00,9.7,6.7,12.3,1.0,98.7,1.1,0.0
3/9/2015 0:00,9.3,8.6,11.4,1.1,92.4,1.1,0.0
3/10/2015 0:00,9.6,9.0,11.7,1.1,90.7,1.1,0.0
3/11/2015 0:00,4.7,9.6,12.9,1.2,82.6,1.0,0.0
3/12/2015 0:00,5.3,9.5,14.2,1.2,107.4,1.2,0.0
3/13/2015 0:00,6.6,9.1,16.5,1.2,95.9,1.1,0.0
3/14/2015 0:00,4.5,7.1,19.3,1.0,115.6,1.3,0.0
3/15/2015 0:00,3.1,7.4,15.6,1.0,112.0,1.3,0.0
3/16/2015 0:00,3.4,8.1,14.7,1.1,91.8,1.1,0.0
3/17/2015 0:00,1.8,7.9,15.4,1.1,121.7,1.4,0.0
3/18/2015 0:00,4.7,8.4,12.8,1.1,103.4,1.2,0.0
3/19/2015 0:00,5.8,8.1,13.3,1.1,107.8,1.2,0.0
3/20/2015 0:00,5.4,7.3,13.0,1.0,101.1,1.2,0.0
3/21/2015 0:00,5.1,9.5,13.5,1.2,99.3,1.1,0.0
3/22/2015 0:00,3.8,10.2,12.7,1.2,94.9,1.1,0.0
3/23/2015 0:00,3.8,8.2,13.1,1.1,114.4,1.3,0.0
